INDUSTRY (MSIC),Managers,Professionals,Technicians & Associate Professionals,Clerical Support Workers,Service & Sales Workers,"Skilled Agricultural, Forestry, Livestock & Fisheries Workers",Craft & Related Trades Workers,Plant & Machine Operators and Assemblers,Elementary Occupations,Grand Total
"Agriculture, Forestry & Fishing",369,1667,2370,446,651,3636,1204,2779,62554,75676
Mining & Quarrying,306,1814,1091,262,1463,30,784,1405,2071,9226
Manufacturing,11373,48875,58710,25549,9637,1320,92242,95880,259630,603216
"Electricity, Gas, Steam & Air Conditioning Supply",332,1340,5679,486,452,1,3124,496,2528,14438
"Water, Sewerage & Waste",201,1206,1267,289,536,20,276,483,5098,9376
Construction,14071,22427,17908,5639,4113,1287,25305,10920,62981,164651
Wholesale & Retail,12713,33393,25103,19871,119837,396,10824,8375,19232,249744
Transportation,2541,5131,21154,20789,1527,,11764,30377,14458,107741
Accommodation and F&B,13521,41130,37964,13897,126543,406,10943,36143,73077,353624
ICT,7968,75941,15422,8983,6879,1,3433,631,3717,122975
Financial & Insurance Takaful,8142,16194,13629,8437,9148,,18,84,249,55901
Real Estate,1428,2976,3634,552,3082,11,291,99,4513,16586
Professional & Technical,7199,61496,25346,37072,12278,71,5195,8046,15125,171828
Administrative & Support Service,7370,38276,28459,18080,59507,902,7539,10338,68123,238594
Defence Compulsory Social Security,127,435,356,458,1852,1,57,33,848,4167
Education,3968,61781,19592,2492,13358,34,1274,470,2371,105340
Human Health & Social Work,1889,16922,13147,3259,11575,79,131,7220,6113,60335
"Arts, Entertainment & Recreation",1324,5390,2720,720,1783,39,264,66,440,12746
Other Services,3839,25231,7570,9866,13665,113,2085,7812,26500,96681
Activities of Households,130,381,532,4899,658,,59,130,781,7570
Activities of Extraterritorial,2,18,97,10,23,,1,2,9,162
Grand Total,98813,462024,301750,182056,398567,8347,176813,221789,630418,2480577